Game Number,similar actions from similar states,Total similar states,Ratio of similar actions,Ratio of similar states
1259530349,4,7,0.5714285714285714,0.23333333333333334
293427945,4,6,0.6666666666666666,0.46153846153846156
1992936157,1,2,0.5,0.16666666666666666
2121145642,2,2,1.0,0.08
210763906,1,2,0.5,0.15384615384615385
282820227,1,2,0.5,0.08333333333333333
1268475984,3,4,0.75,0.8
1024791001,5,7,0.7142857142857143,0.25925925925925924
1982615403,2,2,1.0,0.05555555555555555
724580170,1,2,0.5,0.2
1468448338,5,6,0.8333333333333334,0.75
28785704,6,8,0.75,0.8
362872929,10,12,0.8333333333333334,0.3870967741935484
138502817,7,9,0.7777777777777778,0.4090909090909091
1592708415,2,2,1.0,0.08695652173913043
1421896798,3,6,0.5,0.6
1085823252,1,2,0.5,0.09523809523809523
481302818,8,8,1.0,0.5
475207085,1,2,0.5,0.13333333333333333
7628633,6,9,0.6666666666666666,0.5294117647058824
2048554228,2,2,1.0,0.15384615384615385
2003883697,6,6,1.0,1.0
753527738,1,2,0.5,0.06060606060606061
1148586616,2,2,1.0,0.07142857142857142
746449921,6,6,1.0,0.4
501783339,7,7,1.0,0.5384615384615384
2143205301,1,2,0.5,0.2
805685756,1,2,0.5,0.07692307692307693
